inference,num_nodes,num_vehicles,capacity,plot_path
beam,20,1,300,checkpoints/training_metrics_imgs/beam/training_metrics_0.png
beam,20,3,300,checkpoints/training_metrics_imgs/beam/training_metrics_1.png
beam,25,2,400,checkpoints/training_metrics_imgs/beam/training_metrics_1.png
beam,30,1,500,checkpoints/training_metrics_imgs/beam/training_metrics_1.png
beam,30,3,600,checkpoints/training_metrics_imgs/beam/training_metrics_1.png
beam,35,2,700,checkpoints/training_metrics_imgs/beam/training_metrics_1.png
beam,40,1,800,checkpoints/training_metrics_imgs/beam/training_metrics_1.png
beam,50,5,1000,checkpoints/training_metrics_imgs/beam/training_metrics_1.png
greedy,20,1,300,checkpoints/training_metrics_imgs/greedy/training_metrics_0.png
greedy,20,3,300,checkpoints/training_metrics_imgs/greedy/training_metrics_1.png
greedy,25,2,400,checkpoints/training_metrics_imgs/greedy/training_metrics_1.png
greedy,30,1,500,checkpoints/training_metrics_imgs/greedy/training_metrics_1.png
greedy,30,3,600,checkpoints/training_metrics_imgs/greedy/training_metrics_1.png
greedy,35,2,700,checkpoints/training_metrics_imgs/greedy/training_metrics_1.png
greedy,40,1,800,checkpoints/training_metrics_imgs/greedy/training_metrics_1.png
greedy,50,5,1000,checkpoints/training_metrics_imgs/greedy/training_metrics_1.png
random,20,1,300,checkpoints/training_metrics_imgs/random/training_metrics_0.png
random,20,3,300,checkpoints/training_metrics_imgs/random/training_metrics_1.png
random,25,2,400,checkpoints/training_metrics_imgs/random/training_metrics_1.png
random,30,1,500,checkpoints/training_metrics_imgs/random/training_metrics_1.png
random,30,3,600,checkpoints/training_metrics_imgs/random/training_metrics_1.png
random,35,2,700,checkpoints/training_metrics_imgs/random/training_metrics_1.png
random,40,1,800,checkpoints/training_metrics_imgs/random/training_metrics_1.png
random,50,5,1000,checkpoints/training_metrics_imgs/random/training_metrics_1.png
